# Elements:
C	C(13)	H	H+	N	O	O(18)	S
	C					O	
12	13.003355	1.007825	1.007276	14.003074	15.994915	17.99916	31.97207

# Masses:
C	C(13)	H	H+	N	O	O(18)	S	Mass	Name
4	0	13	1	1	3	0	0	124.09682	C4H13NO3 H+ 
8	0	12	1	0	1	0	0	125.096091	C8H12O H+ 
0	0	0	0	0	0	0	0	125.9587784	 
8	0	15	1	1	0	0	0	126.127725	C8H15N H+ 
5	0	5	1	1	3	0	0	128.03422	C5H5NO3 H+ 
7	0	17	1	1	1	0	0	132.13829	C7H17NO H+ 
0	0	0	0	0	0	0	0	133.239563	 
0	0	0	0	0	0	0	0	133.9528809	 
5	0	11	1	1	3	0	0	134.08117	C5H11NO3 H+ 
6	0	15	1	1	2	0	0	134.117555	C6H15NO2 H+ 
10	0	14	1	0	0	0	0	135.116826	C10H14 H+ 
3	0	5	1	1	5	0	0	136.02405	C3H5NO5 H+ 
0	0	0	0	0	0	0	0	136.1239624	 
10	0	16	1	0	0	0	0	137.132476	C10H16 H+ 
0	0	0	0	0	0	0	0	137.9607544	 
0	0	0	0	0	0	0	0	141.9528809	 
0	0	0	0	0	0	0	0	143.1273499	 
8	0	17	1	1	1	0	0	144.13829	C8H17NO H+ 
6	0	13	1	1	3	0	0	148.09682	C6H13NO3 H+ 
5	0	11	1	1	4	0	0	150.076085	C5H11NO4 H+ 
10	0	14	1	0	1	0	0	151.111741	C10H14O H+ 
10	0	17	1	1	0	0	0	152.143375	C10H17N H+ 
10	0	16	1	0	1	0	0	153.127391	C10H16O H+ 
10	0	19	1	1	0	0	0	154.159025	C10H19N H+ 
11	0	11	1	1	0	0	0	158.096425	C11H11N H+ 
9	0	21	1	1	1	0	0	160.16959	C9H21NO H+ 
6	0	13	1	1	4	0	0	164.091735	C6H13NO4 H+ 
10	0	17	1	1	1	0	0	168.13829	C10H17NO H+ 
10	0	19	1	1	1	0	0	170.15394	C10H19NO H+ 
10	0	21	1	1	1	0	0	172.16959	C10H21NO H+ 
10	0	4	1	0	3	0	0	173.023321	C10H4O3 H+ 
10	0	23	1	1	1	0	0	174.18524	C10H23NO H+ 
12	0	17	1	1	0	0	0	176.143375	C12H17N H+ 
5	0	13	1	1	6	0	0	184.081565	C5H13NO6 H+ 
10	0	16	1	0	3	0	0	185.117221	C10H16O3 H+ 
10	0	19	1	1	2	0	0	186.148855	C10H19NO2 H+ 
9	0	19	1	1	3	0	0	190.14377	C9H19NO3 H+ 
14	0	22	1	0	0	0	0	191.179426	C14H22 H+ 
10	0	19	1	1	3	0	0	202.14377	C10H19NO3 H+ 
12	0	27	1	1	2	0	0	218.211455	C12H27NO2 H+ 
0	0	0	0	0	0	0	0	237.9036713	 
0	0	0	0	0	0	0	0	238.90625	 
0	0	0	0	0	0	0	0	239.8959503	 
0	0	0	0	0	0	0	0	240.9072876	 
0	0	0	0	0	0	0	0	255.9350433	 
0	0	0	0	0	0	0	0	257.9307556	 
15	0	33	1	1	2	0	0	260.258405	C15H33NO2 H+ 
16	0	35	1	1	2	0	0	274.274055	C16H35NO2 H+ 
